"title","average_rating","director","writer","metascore","cast","release_date","country_of_origin","languages","budget","worldwide_gross","runtime","first_released"
"The Shawshank Redemption","9.3","Frank Darabont","Stephen King, Frank Darabont","82","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, Mark Rolston, James Whitmore, Jeffrey DeMunn, Larry Brandenburg, Neil Giuntoli, Brian Libby, David Proval, Joseph Ragno, Jude Ciccolella, Paul McCrane, Renee Blaine, Scott Mann","1994-10-14","United States","English","25000000","29332133","2 hours 22 minutes","India"
"The Godfather","9.2","Francis Ford Coppola","Mario Puzo, Francis Ford Coppola","100","Marlon Brando, Al Pacino, James Caan, Diane Keaton, Richard S. Castellano, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Al Lettieri, Abe Vigoda, Talia Shire, Gianni Russo, John Cazale, Rudy Bond, Al Martino, Morgana King, Lenny Montana",\N,"United States","English, Italian, Latin","6000000","250342198","2 hours 55 minutes","India"
"The Dark Knight","9","Christopher Nolan","Jonathan Nolan, Christopher Nolan, David S. Goyer","84","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal, Gary Oldman, Morgan Freeman, Monique Gabriela Curnen, Ron Dean, Cillian Murphy, Chin Han, Nestor Carbonell, Eric Roberts, Ritchie Coster, Anthony Michael Hall, Keith Szarabajka, Colin McFarlane, Joshua Harto","2008-07-18","United States, United Kingdom","English, Mandarin","185000000","1009053678","2 hours 32 minutes","India"
"Schindler's List","9","Steven Spielberg","Thomas Keneally, Steven Zaillian","95","Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Malgorzata Gebel, Shmuel Levy, Mark Ivanir, Béatrice Macola, Andrzej Seweryn, Friedrich von Thun, Krzysztof Luft, Harry Nehring, Norbert Weisser, Adi Nitzan, Michael Schneider, Miri Fabian","1993-12-15","United States","English, Hebrew, German, Polish, Latin","22000000","322161245","3 hours 15 minutes","India"
"12 Angry Men","9","Sidney Lumet","Reginald Rose","97","Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Joseph Sweeney, Ed Begley, George Voskovec, Robert Webber, Rudy Bond, Tom Gorman, James Kelly, Billy Nelson, John Savoca, Walter Stocker","1957-04-10","United States","English","350000","2945","1 hour 36 minutes","United States"
"The Godfather: Part II","9","Francis Ford Coppola","Francis Ford Coppola, Mario Puzo","90","Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton, John Cazale, Talia Shire, Lee Strasberg, Michael V. Gazzo, G.D. Spradlin, Richard Bright, Gastone Moschin, Tom Rosqui, Bruno Kirby, Frank Sivero, Francesca De Sapio, Morgana King, Marianna Hill, Leopoldo Trieste",\N,"United States","English, Italian, Spanish, Latin, Sicilian","13000000","47964222","3 hours 22 minutes","India"
"The Lord of the Rings: The Return of the King","9","Peter Jackson","J.R.R. Tolkien, Fran Walsh, Philippa Boyens","94","Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, Noel Appleby, Ali Astin, Sean Astin, David Aston, John Bach, Sean Bean, Cate Blanchett, Billy Boyd, Sadwyn Brophy, Alistair Browning, Marton Csokas, Richard Edge, Jason Fitch, Bernard Hill","2004-02-06","New Zealand, United States","English, Quenya, Old English, Sindarin","94000000","1138263151","3 hours 21 minutes","India"
"The Lord of the Rings: The Fellowship of the Ring","8.9","Peter Jackson","J.R.R. Tolkien, Fran Walsh, Philippa Boyens","92","Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean, Alan Howard, Noel Appleby, Sean Astin, Sala Baker, Billy Boyd, Andy Serkis, Marton Csokas, Viggo Mortensen, Megan Edwards, Michael Elsworth, Cate Blanchett, Mark Ferguson, Ian Holm, Christopher Lee","2002-03-15","New Zealand, United States, United Kingdom","English, Sindarin","93000000","888159923","2 hours 58 minutes","India"
"Pulp Fiction","8.9","Quentin Tarantino","Quentin Tarantino, Roger Avary","95","John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis, Tim Roth, Amanda Plummer, Laura Lovelace, Phil LaMarr, Frank Whaley, Burr Steers, Ving Rhames, Paul Calderon, Bronagh Gallagher, Rosanna Arquette, Eric Stoltz, Jerome Patrick Hoban, Michael Gilden, Gary Shorelle","1994-10-14","United States","English, Spanish, French","8000000","213928762","2 hours 34 minutes","India"
"Inception","8.8","Christopher Nolan","Christopher Nolan","74","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe, Tom Hardy, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas, Tai-Li Lee, Claire Geare, Magnus Nolan, Taylor Geare, Johnathan Geare, Tohoru Masamune","2010-07-16","United States, United Kingdom","English, Japanese, French","160000000","839030630","2 hours 28 minutes","India"
"Fight Club","8.8","David Fincher","Chuck Palahniuk, Jim Uhls","67","Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier, Richmond Arquette, David Andrews, George Maguire, Eugenie Bondurant, Christina Cabot, Helena Bonham Carter, Sydney 'Big Dawg' Colston, Rachel Singer, Christie Cronenweth, Tim DeZarn, Ezra Buzzington, Dierdre Downing-Jackson, Bob Stephenson, Charlie Dell","1999-10-15","Germany, United States","English","63000000","101321009","2 hours 19 minutes","India"
"Forrest Gump","8.8","Robert Zemeckis","Winston Groom, Eric Roth","82","Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Rebecca Williams, Michael Conner Humphreys, Harold G. Herthum, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer, Ione M. Telech, Christine Seabrook, John Worsham, Peter Dobson, Siobhan Fallon Hogan, Alexander Zemeckis","2014-09-12","United States","English","55000000","678226465","2 hours 22 minutes","India"
